file,class,method,variable,usage
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,reset/0,checkpoint,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,reset/0,counter,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shouldCheckpoint/0,checkpoint,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shouldCheckpoint/0,threshold,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shouldCheckpoint/0,counter,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,isActive/0,isActive,2
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shutdown/0,checkpointOffsetsTimer,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,shutdown/0,isActive,2
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,update/1[int],counter,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-kafka\src\main\java\io\mantisrx\connector\kafka\source\checkpoint\trigger\CountingCheckpointTrigger.java,io.mantisrx.connector.kafka.source.checkpoint.trigger.CountingCheckpointTrigger,"CountingCheckpointTrigger/2[int,int]",threshold,3
